AllComplex	0.000	0.008	1.496	0.400	1	0.000	0.008	1.110	0.432	1
AllOrigin	0.000	0.003	0.595	0.666	1	0.000	0.003	0.442	1.000	1
AllSol	0.011	0.001	10.561	0.035	0.385	0.000	0.001	0.171	1.000	1
Apis	0.005	0.015	1.194	0.371	1	0.022	0.015	0.373	0.727	1
Ceratina	0.000	0.009	1.596	0.272	1	0.007	0.009	0.026	1.000	1
CorbSoc	0.000	0.002	0.366	1.000	1	0.000	0.002	0.269	1.000	1
Dufourea	0.022	0.018	0.146	0.774	1	0.007	0.018	0.862	0.521	1
Habro	0.038	0.031	0.230	0.663	1	0.007	0.031	2.628	0.126	1
Lasio	0.054	0.064	0.307	0.647	1	0.080	0.064	0.565	0.483	1
Mega	0.011	0.009	0.058	1.000	1	0.000	0.009	1.259	0.414	1
Meli	0.134	0.127	0.090	0.822	1	0.130	0.127	0.015	1.000	1
